PDB,resolution,year,-logKd/Ki,Kd/Ki,ligand name
3zzf,2.20,2012,0.40,Ki=400mM,3zzf
3gww,2.46,2009,0.45,IC50=355mM,3gwu
1w8l,1.80,2004,0.49,Ki=320mM,1w8l
3fqa,2.35,2009,0.49,IC50=320mM,3fq7
1zsb,2.00,1996,0.60,Kd=250mM,1zsb
6h9v,1.52,2019,0.66,Kd=220mM,6h9v
4obv,2.84,2014,0.75,Ki=178mM,4obv
1wkm,2.30,2005,0.82,Ki=150mM,1wkm
3k41,1.90,2009,0.82,Kd=150mM,3k41
4eu3,1.58,2012,0.82,Ki=150mM,4eu3
2w97,2.29,2010,0.96,Kd=110mM,2w97
1p0y,2.55,2003,1.00,Ki=100.8mM,1p0y
2b1r,2.20,2006,1.00,Ki=101mM,2b1q
2d2v,2.50,2006,1.00,Ki=100mM,2b1q
1aw1,2.70,1998,1.05,Ki=89mM,1aw1
1maw,3.00,2003,1.10,Kd=80mM,1maw
3fl9,2.40,2009,1.11,IC50=77.2mM,3fl8
5eb2,2.71,2016,1.11,Kd=76.9mM,5eb1
4lh2,1.67,2013,1.24,Ki=58mM,4lh2
4to8,2.10,2014,1.24,IC50=56.9mM,4to8
4fci,1.82,2012,1.26,Ki~55mM,4fci
4fck,1.90,2012,1.26,Ki~55mM,4fci
4clp,1.90,2014,1.27,Kd=54.2mM,4clk
1f9g,2.00,2001,1.28,Ki=53mM,1f9g
1a0t,2.40,1998,1.30,Kd=50mM,1a0t
1b74,2.30,2000,1.30,Ki=50mM,1b74
2fah,2.09,2006,1.30,Ki>50mM,2fah
5oxm,2.30,2018,1.30,Kd>50mM,5oxk
2igw,1.78,2007,1.31,Kd=49mM,2igv
5mnc,0.92,2017,1.31,Kd=48.5mM,5mn1
5mny,1.43,2017,1.31,Kd=48.5mM,5mn1
5moo,1.44,2017,1.31,Kd=48.5mM,5mn1
2vl1,2.15,2008,1.35,Ki=45mM,2vl1
3nm6,1.60,2010,1.35,Kd=45mM,3nm5
1qpb,2.40,2000,1.36,Kd=44mM,1qpb
6k2n,1.80,2019,1.36,Kd=43.4mM,6k2n
1hty,1.40,2002,1.40,IC50=40mM,1hty
1o4l,1.65,2004,1.40,IC50>40mM,1o4l
1o4m,1.60,2004,1.40,IC50>40mM,1o4m
1o4n,1.60,2004,1.40,IC50>40mM,1o4n
2hdq,2.10,2006,1.40,Ki=40mM,2hdq
3eor,2.90,2009,1.40,Kd=40mM,3elc
3e81,1.63,2008,1.43,Ki=37mM,3e81
1ozv,2.65,2003,1.44,Ki=36.6mM,1ozv
1utp,1.30,2004,1.44,Kd=36mM,1utp
5eb3,2.40,2016,1.45,Kd=35.2mM,5eb1
1tnk,1.80,1994,1.49,Ki=32.5mM,1tnk
4bh4,1.90,2013,1.49,Kd=32mM,4bgw
5vqe,1.89,2018,1.49,Kd=32mM,5vqe
4lh3,1.81,2013,1.52,Ki=30mM,4lh2
5ct1,2.00,2015,1.52,Kd=30.2mM,5ct1
5ele,1.60,2016,1.52,Kd>30mM,5eld
3mwe,2.20,2010,1.54,Ki=29mM,3mwd
4amw,1.90,2013,1.55,Ki=28.3mM,2x2i
1iig,2.60,2001,1.57,Ki=27mM,1iig
3rup,1.99,2011,1.57,Ki=27.0mM,3rup
5cs5,1.90,2015,1.58,Kd=26.6mM,5cs5
5ofv,1.50,2017,1.58,Kd=26.2mM,5ofv
2b1q,2.20,2006,1.59,Ki=26mM,2b1q
1w8m,1.65,2004,1.60,Ki=25mM,1w8m
3itc,1.70,2010,1.60,Ki=25mM,3itc
2it4,2.00,2007,1.62,Ki=24.1mM,2it4
5k5c,1.85,2017,1.62,IC50=24mM,5jij
1a7t,1.85,1998,1.64,Ki=23mM,1a7t
4d63,2.20,2015,1.64,Kd~23mM,4d62
1hgj,2.70,1994,1.66,Kd=22mM,1hgj
1rdj,1.80,1996,1.66,Ki=21.7mM,1rdj
2o9r,2.30,2007,1.68,Ki=21mM,2jie
4qsw,1.80,2014,1.68,Kd=21mM,4qsw
2sfp,1.90,1999,1.70,Ki=20mM,2sfp
3gf2,1.80,2009,1.70,Kd=20mM,3gf2
3oay,1.95,2011,1.70,IC50~20mM,3oay
4tyb,2.93,2015,1.70,Kd=19.99mM,4txs
6cex,2.57,2018,1.70,Kd>20mM,6cex
6cf5,2.04,2018,1.70,Kd>20mM,6cex
3g6m,1.65,2010,1.71,Ki=19.7mM,3g6m
2hdr,2.20,2006,1.72,Ki=19mM,2hdr
3ern,2.10,2009,1.72,Kd=18.91mM,3elc
3vzg,2.70,2013,1.72,Kd=19mM,3vy7
3zst,2.30,2011,1.72,IC50=19mM,3zst
5y61,2.99,2017,1.72,Kd=19.1mM,5y61
1u2y,1.95,2004,1.74,Ki=18mM,1u2y
4qsx,1.93,2014,1.74,Kd=18mM,4qsx
5y62,3.00,2017,1.74,Kd=18.4mM,5y61
5ggj,1.42,2016,1.75,Kd=17.78mM,5ggj
5zef,2.01,2019,1.75,IC50=17.9mM,5zee
4bgx,2.48,2013,1.77,Kd=17mM,4bgw
3f39,1.85,2009,1.78,Kd=16.5mM,3f33
5ggl,1.27,2016,1.78,Kd=16.52mM,5ggl
2zgm,1.90,2009,1.79,Ki=16.4mM,2zgm
1ga8,2.00,2001,1.80,Ki=16mM,1ga8
3rxh,1.70,2011,1.80,IC50=15.7mM,3rxh
1af6,2.40,1998,1.82,Kd=15mM,1af6
1bra,2.20,1994,1.82,Ki=15000uM,1bra
